block,date,ndvi,kc,eto,irrigation_mm,irrigation_minutes,confidence,efficiency,rain_mm
D2_Bay_10,2025-04-20,0.7945020198822021,0.993,1.82,1.5299999999999998,9.2,100,0.95,0.38
D2_Bay_11,2025-04-20,0.7931800484657288,0.991,1.82,1.5099999999999998,9.1,100,0.95,0.38
D2_Bay_12,2025-04-20,0.7900908589363098,0.988,1.82,1.5099999999999998,9.1,100,0.95,0.38
D2_Bay_13,2025-04-20,0.7704684138298035,0.963,1.82,1.46,8.8,100,0.95,0.38
D2_Bay_14,2025-04-20,0.7364397048950195,0.921,1.82,1.3900000000000001,8.3,100,0.95,0.38
D2_Bay_15,2025-04-20,0.6764273643493652,0.846,1.82,1.2400000000000002,7.4,100,0.95,0.38
D2_Bay_16,2025-04-20,0.5792363882064819,0.724,1.82,1.0099999999999998,6.1,100,0.95,0.38
D2_Bay_17,2025-04-20,0.40255385637283325,0.503,1.82,0.59,3.5,100,0.95,0.38
D2_Bay_18,2025-04-20,0.267155259847641,0.334,1.82,0.26,1.6,100,0.95,0.38
D2_Bay_1,2025-04-20,0.5718349814414978,0.715,1.82,0.9900000000000001,5.9,100,0.95,0.38
D2_Bay_2,2025-04-20,0.7078405022621155,0.885,1.82,1.31,7.9,100,0.95,0.38
D2_Bay_3,2025-04-20,0.7599786520004272,0.95,1.82,1.44,8.6,100,0.95,0.38
D2_Bay_4,2025-04-20,0.7683632969856262,0.96,1.82,1.46,8.8,100,0.95,0.38
D2_Bay_5,2025-04-20,0.7870554327964783,0.984,1.82,1.5,9.0,100,0.95,0.38
D2_Bay_6,2025-04-20,0.7965185642242432,0.996,1.82,1.5299999999999998,9.2,100,0.95,0.38
D2_Bay_7,2025-04-20,0.8010459542274475,1.001,1.82,1.54,9.2,100,0.95,0.38
D2_Bay_8,2025-04-20,0.8084927797317505,1.011,1.82,1.56,9.4,100,0.95,0.38
D2_Bay_9,2025-04-20,0.7990871071815491,0.999,1.82,1.54,9.2,100,0.95,0.38
wash_a,2025-04-20,0.6904227137565613,0.863,1.82,1.71,10.3,100,0.75,0.38
